"";"A.E-e";"Fa-w";"Fa-upper";"Fa-sc 2";"Fa-sc 1";"Fb/Wd-upper";"Fb/Wd-low/middle";"Wcd";"Bd-wgc";"Bd-rtf";"Bd-wb 3";"Bd-wb 2";"Bd-wb 1";"Bd-spring 1";"Bd-spring 2";"S-xs";"S-xds";"D";"Wcd/Fb/Wd-river";"We/Bd/S-river"
"Armeria/Limonium";-0.324473393873464;-0.311112252463542;-0.282862447752461;-0.217365359295387;-0.374103478573356;-0.36218613701447;-0.217365359295387;-0.282862447752461;-0.251989881051376;-0.311112252463542;-0.440638951623786;-0.311112252463542;-0.297266158538658;-0.297266158538658;-0.267809648298951;-0.217365359295387;11.2697702730678;-0.235246796664812;-0.585289361496759;-0.491414531213965
"Poaceae";0.516058337629803;0.494808125578428;0.4498782560334;0.345708486718103;-1.21798454264608;0.576038526761727;0.345708486718103;0.4498782560334;0.400777017685517;-1.64111361650179;0.700813715896191;0.494808125578428;0.472786621355099;0.472786621355099;0.425937548384246;0.345708486718103;-3.35987010205356;-5.16324237654917;0.93087279459411;0.781569678296351
"Podocarpus";1.64111119254447;1.57353363725948;1.43065267514081;1.09938358813549;1.89212865353138;1.83185350312786;1.09938358813549;1.43065267514081;-1.60424787006753;-3.16536417727779;2.22864964904599;-0.0060989675862767;-2.61285352299908;-0.966310791960729;-3.17804482682392;-5.52248500086665;-4.49137260646174;-5.97678908127163;2.96025788297489;1.41613461769609
"Sphaerotylax_abyssinica";-0.324473393873464;-0.311112252463542;-0.282862447752461;-0.217365359295387;-0.374103478573356;-0.36218613701447;-0.217365359295387;-0.282862447752461;-0.251989881051376;-0.311112252463542;-0.440638951623786;-0.311112252463542;-0.297266158538658;-0.297266158538658;-0.267809648298951;-0.217365359295387;-0.176780710165769;-0.235246796664812;3.4039197076522;-0.491414531213965
"Polygala";-0.516058337629804;-0.494808125578429;-0.449878256033401;-0.345708486718104;-0.594992448993773;-0.576038526761729;-0.345708486718104;-0.449878256033401;-0.400777017685518;-0.494808125578429;0.877540652948276;-0.494808125578429;1.75360855920801;-0.4727866213551;2.02556967453842;-0.345708486718104;-0.281160677996113;-0.374147998300664;0.338053804352599;0.6643342265519
"Oxygonum";-0.398172534811362;-0.381776615627812;-0.347110302265541;-0.266736557526742;-0.459075329927948;-0.4444511475256;-0.266736557526742;-0.347110302265541;-0.30922550686596;-0.381776615627812;-0.540723312349873;-0.381776615627812;-0.364785594424214;-0.364785594424214;-0.328638490931917;-0.266736557526742;-0.2169337295492;-0.288679488373736;0.913536679997086;3.11566421683259
"Polygonum_plebeium";-0.324473393873464;-0.311112252463542;-0.282862447752461;-0.217365359295387;-0.374103478573356;-0.36218613701447;-0.217365359295387;-0.282862447752461;-0.251989881051376;-0.311112252463542;-0.440638951623786;-0.311112252463542;-0.297266158538658;-0.297266158538658;-0.267809648298951;-0.217365359295387;-0.176780710165769;-0.235246796664812;1.40931517307772;1.78137767565062
"Polygonum_senegalense";-0.737107757188933;-0.706755188491137;-0.642579972326168;-0.493789923938328;-0.849852657427196;-0.822779975740542;-0.493789923938328;-0.642579972326168;-0.572446615233177;-0.706755188491137;-1.00100160905074;0.818658093335567;2.50475261770187;-0.675300950850996;-0.608384455978475;-0.493789923938328;-0.401593582848192;-0.53441127053734;-1.32960463540398;6.11200932684803
"Rumex";0.309940212117314;-1.48451176311534;0.214653345762751;-1.49954676803029;-1.45741669412701;5.01287130098784;3.12405576672976;-1.22937825300485;-1.73841228856261;-0.160971155036603;-3.03985289062445;-2.1462820671547;0.708444877057931;-2.05076148622033;-1.84754872559191;1.27461475282574;-1.21956388744968;1.80838111412272;1.46634378157641;2.4336364549857
"Portulacaceae";-0.398172534811362;-0.381776615627812;-0.347110302265541;-0.266736557526742;-0.459075329927948;-0.4444511475256;-0.266736557526742;-0.347110302265541;-0.30922550686596;-0.381776615627812;-0.540723312349873;2.3648940356945;-0.364785594424214;-0.364785594424214;-0.328638490931917;-0.266736557526742;-0.2169337295492;-0.288679488373736;0.913536679997086;1.25631621646475
